Zoekwoord,Thema,Cluster,Laag,Herkomst,Volume Vlaanderen,Volume Nederland,Moeilijkheid,Intentie,SERP-features,VisitArdenne positie,In FR-onderzoek,In eerder universum
ardennen,Uit concurrent- & SERP-analyse,ardennen,CORE,COMPETITOR-DISCOVERED,9900,27100,,,,5,0,0
charleroi,Uit concurrent- & SERP-analyse,charleroi,SUBSTITUTE,COMPETITOR-DISCOVERED,22200,14800,,,,,0,0
pretpark,Uit concurrent- & SERP-analyse,pretpark,DEMANDGEN,COMPETITOR-DISCOVERED,9900,27100,,,,,0,0
bed and breakfast,Uit concurrent- & SERP-analyse,bed and breakfast,DEMANDGEN,COMPETITOR-DISCOVERED,3600,33100,,,,,0,0
bed & breakfast,Uit concurrent- & SERP-analyse,bed & breakfast,DEMANDGEN,COMPETITOR-DISCOVERED,3600,33100,,,,,0,0
veluwe,Substituut-bestemmingen,veluwe,SUBSTITUTE,MARKET-DISCOVERED,2900,33100,46,informational,ai_overview|images|organic|people_also_ask|related_searches,,0,0
kerstmarkten,Evenementen & kerstmarkten,kerstmarkt,DEMANDGEN,MARKET-DISCOVERED,8100,27100,33,informational,,,0,1
bezienswaardigheden,Uit concurrent- & SERP-analyse,bezienswaardigheden,DEMANDGEN,COMPETITOR-DISCOVERED,8100,27100,,,,,0,0
wat is te doen vandaag,Uit concurrent- & SERP-analyse,wat is te doen vandaag,DEMANDGEN,COMPETITOR-DISCOVERED,22200,12100,,,,,0,0
wat te doen vandaag,Uit concurrent- & SERP-analyse,wat te doen vandaag,DEMANDGEN,COMPETITOR-DISCOVERED,22200,12100,,,,,0,0
landal loo,Uit concurrent- & SERP-analyse,landal loo,SUBSTITUTE,COMPETITOR-DISCOVERED,720,33100,,,,,0,0
wandelroutes,Wandelen,wandelroutes,DEMANDGEN,MARKET-DISCOVERED,6600,27100,48,informational,compare_sites|local_pack|organic|people_also_ask|related_searches,,0,1
wandelroute,Uit concurrent- & SERP-analyse,wandelroute,DEMANDGEN,COMPETITOR-DISCOVERED,6600,27100,,,,,0,0
beekbergen,Uit concurrent- & SERP-analyse,beekbergen,SUBSTITUTE,COMPETITOR-DISCOVERED,480,33100,,,,,0,0
kleef,Uit concurrent- & SERP-analyse,kleef,SUBSTITUTE,COMPETITOR-DISCOVERED,320,33100,,,,,0,0
zwarte woud,Substituut-bestemmingen,zwarte woud,SUBSTITUTE,MARKET-DISCOVERED,9900,22200,21,informational,images|knowledge_graph|organic|people_also_ask|people_also_search|related_searches|top_sights,,0,1
circuit de spa-francorchamps,Uit concurrent- & SERP-analyse,circuit de spa-francorchamps,CORE,COMPETITOR-DISCOVERED,14800,14800,,,,,0,0
activiteiten,Uit concurrent- & SERP-analyse,activiteiten,DEMANDGEN,COMPETITOR-DISCOVERED,6600,22200,,,,,0,0
mullerthal trail,Uit concurrent- & SERP-analyse,mullerthal trail,CORE,SERP-DISCOVERED,12100,14800,,,,,0,0
kerstmarkten in dusseldorf,Evenementen & kerstmarkten,kerstmarkten in dusseldorf,SUBSTITUTE,MARKET-DISCOVERED,3600,22200,0,informational,ai_overview|organic|people_also_ask|related_searches,,0,0
hotels maastricht,Uit concurrent- & SERP-analyse,hotels maastricht,SUBSTITUTE,COMPETITOR-DISCOVERED,2900,22200,,,,,0,0
hotels rotterdam,Uit concurrent- & SERP-analyse,hotels rotterdam,SUBSTITUTE,COMPETITOR-DISCOVERED,2900,22200,,,,,0,0
attractie park,Uit concurrent- & SERP-analyse,attractie park,DEMANDGEN,COMPETITOR-DISCOVERED,6600,18100,,,,,0,0
la roche en ardenne,Uit concurrent- & SERP-analyse,la roche en ardenne,CORE,COMPETITOR-DISCOVERED,12100,12100,,,,5,0,0
la roche ardennen,Uit concurrent- & SERP-analyse,la roche ardennen,CORE,COMPETITOR-DISCOVERED,12100,12100,,,,6,0,0
la roche-en-ardenne,Uit concurrent- & SERP-analyse,la roche-en-ardenne,CORE,COMPETITOR-DISCOVERED,12100,12100,,,,6,0,0
kerstmarkt duitsland,Substituut-bestemmingen,kerstmarkt duitsland,SUBSTITUTE,SEED-EXPANDED,1900,22200,6,informational,ai_overview|organic|people_also_ask|related_searches,,0,0
rijsbergen,Uit concurrent- & SERP-analyse,rijsbergen,SUBSTITUTE,COMPETITOR-DISCOVERED,1900,22200,,,,,0,0
glamping,Bijzonder overnachten,glamping,DEMANDGEN,MARKET-DISCOVERED,5400,18100,26,informational,compare_sites|knowledge_graph|local_pack|organic|people_also_ask|related_searches,,0,0
het nationale park de hoge veluwe,Substituut-bestemmingen,het nationale park de hoge veluwe,SUBSTITUTE,MARKET-DISCOVERED,720,22200,23,informational,google_reviews|knowledge_graph|organic|people_also_ask|related_searches|short_videos,,0,1
vogezen,Substituut-bestemmingen,vogezen,SUBSTITUTE,MARKET-DISCOVERED,8100,14800,15,informational,images|knowledge_graph|organic|people_also_ask|related_searches,,0,0
hank,Uit concurrent- & SERP-analyse,hank,SUBSTITUTE,COMPETITOR-DISCOVERED,590,22200,,,,,0,0
wandel knooppunten,Wandelen,knooppunten wandelen,DEMANDGEN,SEED-EXPANDED,18100,2900,22,navigational,,,0,1
wandelknooppunten,Uit concurrent- & SERP-analyse,wandelknooppunten,DEMANDGEN,COMPETITOR-DISCOVERED,18100,2900,,,,,0,0
weekendje weg nederland,Weekend & korte vakantie,weekendje weg nederland,SUBSTITUTE,MARKET-DISCOVERED,590,18100,36,informational,ai_overview|google_reviews|knowledge_graph|organic|people_also_ask|related_searches|third_party_reviews,,0,0
thermaalbad arcen,Uit concurrent- & SERP-analyse,thermaalbad arcen,SUBSTITUTE,COMPETITOR-DISCOVERED,590,18100,,,,,0,0
weekendjes weg nederland,Uit concurrent- & SERP-analyse,weekendjes weg nederland,SUBSTITUTE,COMPETITOR-DISCOVERED,590,18100,,,,,0,0
malmedy,Uit concurrent- & SERP-analyse,malmedy,CORE,COMPETITOR-DISCOVERED,9900,8100,,,,,0,0
goedkope vakantie,Uit concurrent- & SERP-analyse,goedkope vakantie,DEMANDGEN,COMPETITOR-DISCOVERED,2900,14800,,,,,0,0
goedkope vakanties,Uit concurrent- & SERP-analyse,goedkope vakanties,DEMANDGEN,COMPETITOR-DISCOVERED,2900,14800,,,,,0,0
goedkopere vakanties,Uit concurrent- & SERP-analyse,goedkopere vakanties,DEMANDGEN,COMPETITOR-DISCOVERED,2900,14800,,,,,0,0
dordogne,Substituut-bestemmingen,dordogne,SUBSTITUTE,MARKET-DISCOVERED,5400,12100,23,informational,images|knowledge_graph|organic|people_also_ask|related_searches|top_sights,,0,1
dordogne region,Substituut-bestemmingen,dordogne region,SUBSTITUTE,MARKET-DISCOVERED,5400,12100,17,informational,,,0,0
overnachting,Uit concurrent- & SERP-analyse,overnachting,DEMANDGEN,COMPETITOR-DISCOVERED,1900,14800,,,,,0,0
echternach,Uit concurrent- & SERP-analyse,echternach,CORE,COMPETITOR-DISCOVERED,6600,9900,,,,,0,0
gent hotel,Uit concurrent- & SERP-analyse,gent hotel,SUBSTITUTE,COMPETITOR-DISCOVERED,8100,8100,,,,,0,0
hotels gent,Uit concurrent- & SERP-analyse,hotels gent,SUBSTITUTE,COMPETITOR-DISCOVERED,8100,8100,,,,,0,0
houffalize,Uit concurrent- & SERP-analyse,houffalize,CORE,COMPETITOR-DISCOVERED,9900,5400,,,,,0,0
pieterpad etappes,Uit concurrent- & SERP-analyse,pieterpad etappes,SUBSTITUTE,COMPETITOR-DISCOVERED,210,14800,,,,,0,0
doornik,Uit concurrent- & SERP-analyse,doornik,SUBSTITUTE,COMPETITOR-DISCOVERED,12100,2900,,,,,0,0
ns wandelingen,Wandelen,ns wandelingen,SUBSTITUTE,SEED-EXPANDED,70,14800,10,informational,organic|people_also_ask|people_also_search|related_searches,,0,0
bastogne,Uit concurrent- & SERP-analyse,bastogne,CORE,COMPETITOR-DISCOVERED,8100,6600,,,,,0,0
verviers,Uit concurrent- & SERP-analyse,verviers,CORE,COMPETITOR-DISCOVERED,8100,6600,,,,,0,0
pretparken nederland,Attracties,pretparken nederland,SUBSTITUTE,MARKET-DISCOVERED,2400,12100,21,informational,compare_sites|images|organic|people_also_ask|related_searches|top_sights,,0,1
eifel gebergte,Substituut-bestemmingen,eifel gebergte,SUBSTITUTE,MARKET-DISCOVERED,2400,12100,11,informational,,,0,0
eifel duitsland,Substituut-bestemmingen,eifel duitsland,SUBSTITUTE,MARKET-DISCOVERED,2400,12100,33,informational,images|knowledge_graph|organic|people_also_ask|related_searches,,0,1
pretpark nederland,Attracties,pretparken nederland,SUBSTITUTE,SEED-EXPANDED,2400,12100,29,navigational,,,0,1
hallerbos,Uit concurrent- & SERP-analyse,hallerbos,SUBSTITUTE,COMPETITOR-DISCOVERED,12100,1600,,,,,0,0
plopsaland coo,Uit concurrent- & SERP-analyse,plopsaland coo,CORE,COMPETITOR-DISCOVERED,9900,3600,,,,,0,0
eupen,Uit concurrent- & SERP-analyse,eupen,CORE,COMPETITOR-DISCOVERED,8100,5400,,,,,0,0
hoge veluwe,Substituut-bestemmingen,hoge veluwe,SUBSTITUTE,MARKET-DISCOVERED,1300,12100,24,informational,,,0,1
hotel valkenburg,Uit concurrent- & SERP-analyse,hotel valkenburg,SUBSTITUTE,COMPETITOR-DISCOVERED,1300,12100,,,,,0,0
boutique hotel,Uit concurrent- & SERP-analyse,boutique hotel,DEMANDGEN,COMPETITOR-DISCOVERED,1300,12100,,,,,0,0
hotels bij valkenburg,Uit concurrent- & SERP-analyse,hotels bij valkenburg,SUBSTITUTE,COMPETITOR-DISCOVERED,1300,12100,,,,,0,0
hotels in valkenburg,Uit concurrent- & SERP-analyse,hotels in valkenburg,SUBSTITUTE,COMPETITOR-DISCOVERED,1300,12100,,,,,0,0
hotel bij eindhoven,Uit concurrent- & SERP-analyse,hotel bij eindhoven,SUBSTITUTE,COMPETITOR-DISCOVERED,1000,12100,,,,,0,0
hotels bij eindhoven,Uit concurrent- & SERP-analyse,hotels bij eindhoven,SUBSTITUTE,COMPETITOR-DISCOVERED,1000,12100,,,,,0,0
hotel scheveningen,Uit concurrent- & SERP-analyse,hotel scheveningen,SUBSTITUTE,COMPETITOR-DISCOVERED,720,12100,,,,,0,0
marche-en famennes,Uit concurrent- & SERP-analyse,marche-en famennes,CORE,COMPETITOR-DISCOVERED,9900,2900,,,,,0,0
marche en famenne,Uit concurrent- & SERP-analyse,marche en famenne,CORE,COMPETITOR-DISCOVERED,9900,2900,,,,,0,0
marche-en-famenne,Uit concurrent- & SERP-analyse,marche-en-famenne,CORE,COMPETITOR-DISCOVERED,9900,2900,,,,,0,0
adventure valley durbuy,Uit concurrent- & SERP-analyse,adventure valley durbuy,CORE,SERP-DISCOVERED,8100,4400,,,,,0,0
hotels groningen,Uit concurrent- & SERP-analyse,hotels groningen,SUBSTITUTE,COMPETITOR-DISCOVERED,260,12100,,,,,0,0
groningen hotel,Uit concurrent- & SERP-analyse,groningen hotel,SUBSTITUTE,COMPETITOR-DISCOVERED,260,12100,,,,,0,0
groningen hotels,Uit concurrent- & SERP-analyse,groningen hotels,SUBSTITUTE,COMPETITOR-DISCOVERED,260,12100,,,,,0,0
uit in vlaanderen,Dagje uit,uit in vlaanderen,SUBSTITUTE,MARKET-DISCOVERED,12100,210,20,informational,organic|related_searches,,0,0
pretpark duitsland,Substituut-bestemmingen,pretpark duitsland,SUBSTITUTE,SEED-EXPANDED,2400,9900,7,navigational,compare_sites|local_pack|organic|people_also_ask|related_searches|top_sights,,0,0
de boshut,Bijzonder overnachten,de boshut,SUBSTITUTE,MARKET-DISCOVERED,90,12100,2,navigational,,,0,0
boshut t panneland,Bijzonder overnachten,boshut t panneland,SUBSTITUTE,MARKET-DISCOVERED,20,12100,0,navigational,,,0,0
la roche,Uit concurrent- & SERP-analyse,la roche,CORE,COMPETITOR-DISCOVERED,5400,6600,,,,,0,0
uitkijktoren,Uit concurrent- & SERP-analyse,uitkijktoren,DEMANDGEN,COMPETITOR-DISCOVERED,1900,9900,,,,,0,0
uitkijktorens,Uit concurrent- & SERP-analyse,uitkijktorens,DEMANDGEN,COMPETITOR-DISCOVERED,1900,9900,,,,,0,0
ninglinspo,Uit concurrent- & SERP-analyse,ninglinspo,CORE,COMPETITOR-DISCOVERED,8100,3600,,,,,0,0
sauerland,Substituut-bestemmingen,sauerland,SUBSTITUTE,MARKET-DISCOVERED,1600,9900,19,informational,,,0,0
fietsroutes,Fietsen & mountainbike,fietsroutes,DEMANDGEN,MARKET-DISCOVERED,2900,8100,41,informational,images|organic|people_also_ask|related_searches,,0,1
kerstmarkt brussel,Uit concurrent- & SERP-analyse,kerstmarkt brussel,SUBSTITUTE,SERP-DISCOVERED,8100,2900,,,,,0,0
weekendje weg last minute,Weekend & korte vakantie,weekendje weg last minute,DEMANDGEN,MARKET-DISCOVERED,720,9900,20,informational,organic|people_also_ask|related_searches,,0,1
last minute weekendje weg,Weekend & korte vakantie,weekendje weg last minute,DEMANDGEN,MARKET-DISCOVERED,720,9900,20,commercial,,,0,1
weekend weg last minute,Weekend & korte vakantie,last minute weekend weg,DEMANDGEN,MARKET-DISCOVERED,720,9900,20,informational,,,0,0
last minute weekend weg,Weekend & korte vakantie,last minute weekend weg,DEMANDGEN,MARKET-DISCOVERED,720,9900,20,informational,ai_overview|organic|people_also_ask|people_also_search|related_searches,,0,1
last minute dit weekend weg,Weekend & korte vakantie,last minute dit weekend weg,DEMANDGEN,MARKET-DISCOVERED,720,9900,19,informational,ai_overview|organic|people_also_ask|related_searches,,0,0
last minutes weekendje weg,Weekend & korte vakantie,last minutes weekendje weg,DEMANDGEN,MARKET-DISCOVERED,720,9900,22,commercial,ai_overview|organic|people_also_ask|related_searches,,0,1
weekendje weg last minutes,Weekend & korte vakantie,last minutes weekendje weg,DEMANDGEN,MARKET-DISCOVERED,720,9900,22,commercial,,,0,1
eifel,Substituut-bestemmingen,eifel,SUBSTITUTE,MARKET-DISCOVERED,2400,8100,45,informational,,,0,1
luxemburg stad,Uit concurrent- & SERP-analyse,luxemburg stad,CORE,SERP-DISCOVERED,2400,8100,,,,,0,0
dagje uit,Dagje uit,dag j,DEMANDGEN,MARKET-DISCOVERED,480,9900,62,informational,ai_overview|organic|people_also_ask|related_searches,,0,0
blotevoetenpad,Uit concurrent- & SERP-analyse,blotevoetenpad,DEMANDGEN,COMPETITOR-DISCOVERED,3600,6600,,,,,0,0
ingang otterlo nationaal park de hoge veluwe,Substituut-bestemmingen,ingang otterlo nationaal park de hoge veluwe,SUBSTITUTE,MARKET-DISCOVERED,110,9900,4,navigational,,,0,0
bostoren,Uit concurrent- & SERP-analyse,bostoren,SUBSTITUTE,COMPETITOR-DISCOVERED,70,9900,,,,,0,0
boerderij mossel,Uit concurrent- & SERP-analyse,boerderij mossel,SUBSTITUTE,COMPETITOR-DISCOVERED,50,9900,,,,,0,0
huren noord veluwe,Substituut-bestemmingen,huren noord veluwe,SUBSTITUTE,MARKET-DISCOVERED,10,9900,0,commercial,organic|related_searches,,0,0
stavelot,Uit concurrent- & SERP-analyse,stavelot,CORE,COMPETITOR-DISCOVERED,5400,4400,,,,,0,0
stavelot belgium,Uit concurrent- & SERP-analyse,stavelot belgium,CORE,COMPETITOR-DISCOVERED,5400,4400,,,,,0,0
natuurgebieden,Natuur,natuurgebieden,DEMANDGEN,MARKET-DISCOVERED,1600,8100,31,informational,compare_sites|images|local_pack|organic|people_also_ask|related_searches,,0,0
willingen sauerland,Substituut-bestemmingen,willingen sauerland,SUBSTITUTE,MARKET-DISCOVERED,1600,8100,10,informational,,,0,0
aywaille,Uit concurrent- & SERP-analyse,aywaille,CORE,COMPETITOR-DISCOVERED,6600,2900,,,,,0,0
camping luxemburg,Uit concurrent- & SERP-analyse,camping luxemburg,CORE,SERP-DISCOVERED,1300,8100,,,,,0,0
pretparken belgie,Attracties,pretparken belgie,SUBSTITUTE,MARKET-DISCOVERED,5400,3600,17,informational,compare_sites|images|organic|people_also_ask|related_searches,,0,1
pretpark belgie,Attracties,pretparken belgie,SUBSTITUTE,SEED-EXPANDED,5400,3600,17,navigational,compare_sites|local_pack|organic|people_also_ask|related_searches,,0,0
watervallen van coo,Uit concurrent- & SERP-analyse,watervallen van coo,CORE,COMPETITOR-DISCOVERED,3600,5400,,,,5,0,0
kerstmarkt nederland,Evenementen & kerstmarkten,kerstmarkt nederland,SUBSTITUTE,SEED-EXPANDED,720,8100,7,informational,ai_overview|organic|people_also_ask|related_searches,,0,0
dutch mountain trail,Uit concurrent- & SERP-analyse,dutch mountain trail,SUBSTITUTE,COMPETITOR-DISCOVERED,720,8100,,,,,0,0
koersel,Uit concurrent- & SERP-analyse,koersel,SUBSTITUTE,COMPETITOR-DISCOVERED,8100,480,,,,,0,0
zwarte woud duitsland,Substituut-bestemmingen,zwarte woud duitsland,SUBSTITUTE,MARKET-DISCOVERED,1900,6600,18,informational,images|knowledge_graph|organic|people_also_ask|related_searches|top_sights,,0,1
leuke activiteiten,Uit concurrent- & SERP-analyse,leuke activiteiten,DEMANDGEN,COMPETITOR-DISCOVERED,1900,6600,,,,,0,0
weekend weg hotel,Weekend & korte vakantie,weekend weg hotel,DEMANDGEN,MARKET-DISCOVERED,260,8100,48,navigational,ai_overview|google_reviews|knowledge_graph|organic|people_also_ask|related_searches|third_party_reviews,,0,0
weekend weg hotels,Weekend & korte vakantie,weekend weg hotel,DEMANDGEN,MARKET-DISCOVERED,260,8100,31,commercial,,,0,0
weekendje weg hotel,Weekend & korte vakantie,hotel weekendje weg,DEMANDGEN,MARKET-DISCOVERED,260,8100,22,navigational,,,0,0
weekendje weg hotels,Weekend & korte vakantie,hotel weekendje weg,DEMANDGEN,MARKET-DISCOVERED,260,8100,22,commercial,,,0,0
hotelarrangement nijmegen,Uit concurrent- & SERP-analyse,hotelarrangement nijmegen,SUBSTITUTE,COMPETITOR-DISCOVERED,260,8100,,,,,0,0
langdorp,Uit concurrent- & SERP-analyse,langdorp,SUBSTITUTE,COMPETITOR-DISCOVERED,8100,260,,,,,0,0
europarcs de hooge veluwe,Substituut-bestemmingen,europarcs de hooge veluwe,SUBSTITUTE,MARKET-DISCOVERED,210,8100,9,navigational,,,0,0
hotel den bosch,Uit concurrent- & SERP-analyse,hotel den bosch,SUBSTITUTE,COMPETITOR-DISCOVERED,210,8100,,,,,0,0
hotels bij zwolle,Uit concurrent- & SERP-analyse,hotels bij zwolle,SUBSTITUTE,COMPETITOR-DISCOVERED,210,8100,,,,,0,0
hotels den bosch,Uit concurrent- & SERP-analyse,hotels den bosch,SUBSTITUTE,COMPETITOR-DISCOVERED,210,8100,,,,,0,0
camping ardennen,Uit concurrent- & SERP-analyse,camping ardennen,CORE,COMPETITOR-DISCOVERED,2900,5400,,,,,0,0
saint-hubert,Uit concurrent- & SERP-analyse,saint-hubert,CORE,COMPETITOR-DISCOVERED,5400,2900,,,,,0,0
europarcs bad hoophuizen,Uit concurrent- & SERP-analyse,europarcs bad hoophuizen,SUBSTITUTE,COMPETITOR-DISCOVERED,170,8100,,,,,0,0
kootwijkerzand,Uit concurrent- & SERP-analyse,kootwijkerzand,SUBSTITUTE,COMPETITOR-DISCOVERED,140,8100,,,,,0,0
bezoekerscentrum veluwezoom,Uit concurrent- & SERP-analyse,bezoekerscentrum veluwezoom,SUBSTITUTE,COMPETITOR-DISCOVERED,50,8100,,,,,0,0
aubel,Uit concurrent- & SERP-analyse,aubel,CORE,COMPETITOR-DISCOVERED,3600,4400,,,,,0,0
gare guillemins liege,Uit concurrent- & SERP-analyse,gare guillemins liege,CORE,COMPETITOR-DISCOVERED,5400,2400,,,,,0,0
guillemins,Uit concurrent- & SERP-analyse,guillemins,CORE,COMPETITOR-DISCOVERED,5400,2400,,,,,0,0
promenades,Uit concurrent- & SERP-analyse,promenades,DEMANDGEN,COMPETITOR-DISCOVERED,880,6600,,,,,0,0
hotel lastminutes,Uit concurrent- & SERP-analyse,hotel lastminutes,DEMANDGEN,COMPETITOR-DISCOVERED,720,6600,,,,,0,0
hotelkamers last minute,Uit concurrent- & SERP-analyse,hotelkamers last minute,DEMANDGEN,COMPETITOR-DISCOVERED,720,6600,,,,,0,0
dierenparken,Attracties,dierenpark,DEMANDGEN,MARKET-DISCOVERED,1900,5400,67,navigational,,,0,1
kerstmarkten maastricht 2025,Evenementen & kerstmarkten,kerstmarkten maastricht 2025,SUBSTITUTE,MARKET-DISCOVERED,1900,5400,3,informational,,,0,0
arlon,Uit concurrent- & SERP-analyse,arlon,CORE,COMPETITOR-DISCOVERED,5400,1900,,,,,0,0
chaudfontaine,Uit concurrent- & SERP-analyse,chaudfontaine,CORE,COMPETITOR-DISCOVERED,3600,3600,,,,8,0,0
kerstmarkten hasselt,Evenementen & kerstmarkten,kerstmarkten hasselt,SUBSTITUTE,MARKET-DISCOVERED,5400,1600,3,navigational,,,0,0
blote voeten pad,Uit concurrent- & SERP-analyse,blote voeten pad,DEMANDGEN,COMPETITOR-DISCOVERED,1600,5400,,,,,0,0
belgische ardennen,Uit concurrent- & SERP-analyse,belgische ardennen,CORE,COMPETITOR-DISCOVERED,390,6600,,,,12,0,0
natuurhuisje nederland,Bijzonder overnachten,natuurhuisje nederland,SUBSTITUTE,MARKET-DISCOVERED,320,6600,26,navigational,,,0,0
veluwe hotel de beyaerd,Substituut-bestemmingen,veluwe hotel de beyaerd,SUBSTITUTE,MARKET-DISCOVERED,260,6600,18,navigational,,,0,0
lessines,Uit concurrent- & SERP-analyse,lessines,SUBSTITUTE,COMPETITOR-DISCOVERED,6600,210,,,,,0,0
kerstmarkten keulen 2025,Evenementen & kerstmarkten,kerstmarkten keulen 2025,SUBSTITUTE,MARKET-DISCOVERED,2400,4400,0,informational,,,0,1
clervaux,Uit concurrent- & SERP-analyse,clervaux,CORE,COMPETITOR-DISCOVERED,2400,4400,,,,9,0,0
luxembourg clervaux,Uit concurrent- & SERP-analyse,luxembourg clervaux,CORE,COMPETITOR-DISCOVERED,2400,4400,,,,,0,0
grotten van remouchamps,Uit concurrent- & SERP-analyse,grotten van remouchamps,CORE,COMPETITOR-DISCOVERED,2400,4400,,,,4,0,0
hotel antwerpen hyllit,Uit concurrent- & SERP-analyse,hotel antwerpen hyllit,SUBSTITUTE,COMPETITOR-DISCOVERED,4400,2400,,,,,0,0
hotels bij apeldoorn,Uit concurrent- & SERP-analyse,hotels bij apeldoorn,SUBSTITUTE,COMPETITOR-DISCOVERED,170,6600,,,,,0,0
fletcher hotel-restaurant mooi veluwe,Substituut-bestemmingen,fletcher hotel-restaurant mooi veluwe,SUBSTITUTE,MARKET-DISCOVERED,140,6600,0,navigational,,,0,0
kleve duitsland,Uit concurrent- & SERP-analyse,kleve duitsland,SUBSTITUTE,COMPETITOR-DISCOVERED,140,6600,,,,,0,0
bospark ede camping,Uit concurrent- & SERP-analyse,bospark ede camping,SUBSTITUTE,COMPETITOR-DISCOVERED,140,6600,,,,,0,0
ede bospark,Uit concurrent- & SERP-analyse,ede bospark,SUBSTITUTE,COMPETITOR-DISCOVERED,140,6600,,,,,0,0
camping huttopia de veluwe,Substituut-bestemmingen,camping huttopia de veluwe,SUBSTITUTE,MARKET-DISCOVERED,110,6600,0,navigational,,,0,0
fletcher hotel-restaurant sparrenhorst-veluwe,Substituut-bestemmingen,fletcher hotel-restaurant sparrenhorst-veluwe,SUBSTITUTE,MARKET-DISCOVERED,110,6600,0,informational,,,0,0
kerstmarkten duitsland 2025,Evenementen & kerstmarkten,kerstmarkt duitsland 2025,SUBSTITUTE,MARKET-DISCOVERED,1300,5400,8,informational,,,0,1
kerstmarkt duitsland 2025,Substituut-bestemmingen,kerstmarkt duitsland 2025,SUBSTITUTE,SEED-EXPANDED,1300,5400,4,informational,,,0,1
ciney,Uit concurrent- & SERP-analyse,ciney,CORE,COMPETITOR-DISCOVERED,5400,1300,,,,2,0,0
vlonder pad,Uit concurrent- & SERP-analyse,vlonder pad,DEMANDGEN,COMPETITOR-DISCOVERED,1300,5400,,,,,0,0
vlonderpad,Uit concurrent- & SERP-analyse,vlonderpad,DEMANDGEN,COMPETITOR-DISCOVERED,1300,5400,,,,,0,0
ingang hoenderloo nationaal park de hoge veluwe,Substituut-bestemmingen,ingang hoenderloo nationaal park de hoge veluwe,SUBSTITUTE,MARKET-DISCOVERED,50,6600,12,navigational,,,0,0
topparken bospark ede,Uit concurrent- & SERP-analyse,topparken bospark ede,SUBSTITUTE,COMPETITOR-DISCOVERED,50,6600,,,,,0,0
kerstmarkten groningen,Evenementen & kerstmarkten,kerstmarkten groningen,SUBSTITUTE,MARKET-DISCOVERED,30,6600,0,navigational,,,0,0
eelderwolde,Uit concurrent- & SERP-analyse,eelderwolde,SUBSTITUTE,COMPETITOR-DISCOVERED,30,6600,,,,,0,0
charleville-mézières,Uit concurrent- & SERP-analyse,charleville-mézières,CORE,COMPETITOR-DISCOVERED,2900,3600,,,,3,0,0
charleville mézières,Uit concurrent- & SERP-analyse,charleville mézières,CORE,COMPETITOR-DISCOVERED,2900,3600,,,,5,0,0
wallonie,Uit concurrent- & SERP-analyse,wallonie,CORE,COMPETITOR-DISCOVERED,2900,3600,,,,,0,0
campings zwarte woud,Substituut-bestemmingen,campings zwarte woud,SUBSTITUTE,MARKET-DISCOVERED,1000,5400,7,informational,compare_sites|hotels_pack|images|local_pack|organic|people_also_ask|related_searches,,0,0
hotel valkenburg thermae 2000,Uit concurrent- & SERP-analyse,hotel valkenburg thermae 2000,SUBSTITUTE,COMPETITOR-DISCOVERED,1000,5400,,,,,0,0
hotton,Uit concurrent- & SERP-analyse,hotton,CORE,COMPETITOR-DISCOVERED,4400,1900,,,,,0,0
